ID,Item Sub Sub Group For Home Appliances
,BEAUTY CARE
,IRON
,GEYSER
,PURIFIER
,VACCUM CLEANER
,INSECT KILLER
,CELLING FAN & TABLE FAN
,TORCH LIGHT
,BULB
,BATTERIES
