Item Sub Sub Group For Stainless Steel
UBHA DABBA
RICE STRAINER
CASH BOX
DISH
PLATE
BOWL
GUNJ
BINDI
PARAT
SAUCE PAN
FRY PAN
CASSEROLE
LUNCH BOX
LID
WATER GLASS
LASSI GLASS
TAPPER HANDI
TEA GLASS
WATI
TOPE
JUG
MUG
DABARA
MILK CAN
KADAI
KHUMCHA
CARRIAGE
BASIN
DOUBLE WALL MUG
MASALA BOX
POT & GHEE
LOTA
DINNER SET
CONTAINER
PURI DABBA
PURI DEEP DABBA
